City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,28.27,44,100,2.24,US,1681586846
1,Mayumba,-3.432,10.6554,26.4,84,60,2.18,GA,1681587003
2,Dikson,73.5069,80.5464,-18.28,100,100,4.31,RU,1681587005
3,Sørland,67.667,12.6934,6.92,86,100,3.68,NO,1681587006
4,Geraldton,-28.7667,114.6,10.23,93,0,2.57,AU,1681587006
5,Esperance,-33.8667,121.9,17.02,77,100,8.09,AU,1681587007
6,Newton,42.337,-71.2092,27.09,54,40,5.66,US,1681587007
7,Dekar,-21.5333,21.9333,22.79,28,32,3.44,BW,1681587011
8,Ushuaia,-54.8,-68.3,7.79,70,0,1.54,AR,1681587012
9,Chara,56.9064,118.2631,-7.12,83,100,0.61,RU,1681587012
10,Griffith,41.5284,-87.4237,28.5,46,100,7.72,US,1681587012
11,Chui,-33.6971,-53.4616,16.5,63,92,3.44,UY,1681587013
12,Punta Arenas,-53.15,-70.9167,8.06,81,100,5.14,CL,1681587014
13,Guerrero Negro,27.9769,-114.0611,18.41,53,0,6.24,MX,1681587021
14,Lokosovo,61.1333,74.8167,-12.37,89,98,6.24,RU,1681587022
15,Bengkulu,-3.8004,102.2655,24.22,91,100,2.11,ID,1681587022
16,Provideniya,64.3833,-173.3,-11.81,67,100,1.68,RU,1681587022
17,Tazmalt,36.3868,4.3989,13.52,71,6,2.31,DZ,1681587022
18,Moose Factory,51.2585,-80.6094,5.0,60,75,5.14,CA,1681587022
19,Gigmoto,13.7796,124.39,26.38,85,27,2.87,PH,1681587024
20,Okhotsk,59.3833,143.3,-7.68,97,99,3.15,RU,1681587024
21,Bredasdorp,-34.5322,20.0403,13.79,81,5,1.55,ZA,1681587025
22,Rikitea,-23.1203,-134.9692,25.7,67,0,3.01,PF,1681587025
23,Mount Gambier,-37.8333,140.7667,10.42,84,18,3.73,AU,1681587026
24,Dois Vizinhos,-25.7336,-53.0572,21.92,87,72,0.54,BR,1681587026
25,Thompson,55.7435,-97.8558,4.09,35,20,3.6,CA,1681587011
26,Port Elizabeth,-33.918,25.5701,16.16,88,0,3.09,ZA,1681587026
27,New Norfolk,-42.7826,147.0587,13.29,89,100,0.45,AU,1681587026
28,Talnakh,69.4865,88.3972,-30.86,85,2,1.62,RU,1681587026
29,Huarmey,-10.0681,-78.1522,26.57,73,98,2.82,PE,1681587027
30,Mataura,-46.1927,168.8643,11.38,87,97,1.26,NZ,1681587028
31,Baykit,61.67,96.37,-25.56,100,57,0.6,RU,1681587028
32,Fort-Shevchenko,44.5086,50.263,6.3,70,100,10.21,KZ,1681587028
33,Port Alfred,-33.5906,26.891,13.99,88,61,0.89,ZA,1681587029
34,Arraial do Cabo,-22.9661,-42.0278,25.98,78,40,5.66,BR,1681587029
35,Klyuchi,52.2667,79.1667,-4.77,89,100,2.54,RU,1681587030
36,Nanortalik,60.1432,-45.2371,2.65,76,100,2.47,GL,1681587031
37,Ixtapa,20.7,-105.2,26.57,50,20,4.63,MX,1681587031
38,Klaksvík,62.2266,-6.589,7.51,86,12,5.75,FO,1681587031
39,Codrington,-38.2667,141.9667,12.46,80,99,6.26,AU,1681587032
40,Saint-Philippe,-21.3585,55.7679,24.77,85,33,2.02,RE,1681587032
41,Cabo San Lucas,22.8909,-109.9124,26.45,56,0,0.0,MX,1681587017
42,Angoche,-16.2325,39.9086,25.26,83,89,4.74,MZ,1681587034
43,Kapoeta,4.7717,33.5903,25.7,65,93,5.33,SS,1681587035
44,Cherskiy,68.75,161.3,-15.57,88,45,1.63,RU,1681587036
45,Caucaia,-3.7361,-38.6531,28.97,75,75,5.14,BR,1681587036
46,Hithadhoo,-0.6,73.0833,28.82,69,100,4.07,MV,1681587036
47,Bluff,-46.6,168.3333,11.56,87,90,2.84,NZ,1681587037
48,Rocha,-34.4833,-54.3333,16.07,58,12,4.27,UY,1681587037
49,Walvis Bay,-22.9575,14.5053,17.53,77,35,2.06,NA,1681587037
50,Russell,32.3502,-85.1999,28.84,44,0,0.0,US,1681587037
51,Tuktoyaktuk,69.4541,-133.0374,-16.0,85,100,4.12,CA,1681587038
52,Santa Maria,-29.6842,-53.8069,24.61,65,75,5.66,BR,1681586798
53,Jamestown,42.097,-79.2353,24.8,35,0,1.54,US,1681587038
54,Cooma,-36.2333,149.1333,12.12,87,100,2.85,AU,1681587038
55,Kenai,60.5544,-151.2583,3.05,69,100,4.12,US,1681587039
56,Kiryat Gat,31.61,34.7642,20.22,100,0,1.19,IL,1681587039
57,Alofi,-19.0595,-169.9187,22.94,88,75,1.03,NU,1681587040
58,Atuona,-9.8,-139.0333,27.23,74,7,6.22,PF,1681587040
59,Luwuk,-0.9516,122.7875,25.48,88,89,0.52,ID,1681587040
60,Tsabong,-26.0217,22.401,19.74,14,0,3.77,BW,1681587040
61,Buala,-8.145,159.5921,25.91,83,98,2.63,SB,1681587040
62,Pittsfield,42.4501,-73.2454,27.36,48,20,5.66,US,1681586965
63,Tasiilaq,65.6145,-37.6368,3.09,89,100,4.13,GL,1681587041
64,Celestún,20.8667,-90.4,31.32,58,0,4.3,MX,1681587041
65,Miles City,46.4083,-105.8406,8.54,36,100,1.54,US,1681587041
